[2026-09-25T16:50:59.671Z] !! poll start: /home/sahur/orca/workspaces/RouteLoom/hil-bench/host/target/debug/routeloomctl --socket /tmp/routeloom-hil-2026-09-26.sock deliveries every 0.5s
[2026-09-25T16:51:57.692Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:58.192Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:58.693Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:59.193Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:51:59.693Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:52:00.193Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:52:00.694Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:52:01.194Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:52:01.694Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:52:02.194Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:52:02.694Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:52:03.194Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:52:03.694Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:52:04.195Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:52:04.695Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:52:05.195Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:52:05.695Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:52:06.195Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:52:06.696Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:52:07.196Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:52:07.695Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:52:08.196Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:52:08.696Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:52:09.196Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:52:09.696Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:52:10.197Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
[2026-09-25T16:52:10.697Z] {"deliveries":[{"request":1,"destination":2,"state":"expired","reason":"DEADLINE_EXPIRED","msg_session":103,"msg_seq":1,"updated_ms":1790355064679}]}
